method,snr_db,rho,accuracy_pct,alpha
gaussian_noise,10.0,0.016984,75.8217,0.001
gaussian_noise,10.0,0.017380,76.3822,0.01
gaussian_noise,10.0,0.022689,80.1529,0.1
gaussian_noise,10.0,0.033180,83.4904,0.2
gaussian_noise,10.0,0.052529,85.3758,0.3
gaussian_noise,10.0,0.071400,86.6242,0.4
gaussian_noise,10.0,0.085245,87.4395,0.5
gaussian_noise,10.0,0.098711,87.8217,0.6
gaussian_noise,10.0,0.110539,87.9745,0.7
gaussian_noise,10.0,0.118504,87.8981,0.8
gaussian_noise,10.0,0.124162,88.0764,0.9
gaussian_no_training,10.0,0.016984,75.5414,0.001
gaussian_no_training,10.0,0.017380,75.8981,0.01
gaussian_no_training,10.0,0.022689,79.6178,0.1
gaussian_no_training,10.0,0.033180,83.5414,0.2
gaussian_no_training,10.0,0.052529,85.0446,0.3
gaussian_no_training,10.0,0.071400,86.5987,0.4
gaussian_no_training,10.0,0.085245,87.6178,0.5
gaussian_no_training,10.0,0.098711,87.6943,0.6
gaussian_no_training,10.0,0.110539,87.8217,0.7
gaussian_no_training,10.0,0.118504,87.4904,0.8
gaussian_no_training,10.0,0.124162,88.0510,0.9
gaussian_noise_025,10.0,0.008492,75.3631,0.001
gaussian_noise_025,10.0,0.008690,76.3057,0.01
gaussian_noise_025,10.0,0.011344,80.4586,0.1
gaussian_noise_025,10.0,0.016590,83.6943,0.2
gaussian_noise_025,10.0,0.026265,85.9363,0.3
gaussian_noise_025,10.0,0.035700,87.2611,0.4
gaussian_noise_025,10.0,0.042622,87.7962,0.5
gaussian_noise_025,10.0,0.049356,88.2803,0.6
gaussian_noise_025,10.0,0.055269,88.4076,0.7
gaussian_noise_025,10.0,0.059252,88.6115,0.8
gaussian_noise_025,10.0,0.062081,88.1529,0.9
gaussian_no_training_025,10.0,0.008492,75.1592,0.001
gaussian_no_training_025,10.0,0.008690,75.7707,0.01
gaussian_no_training_025,10.0,0.011344,79.9236,0.1
gaussian_no_training_025,10.0,0.016590,83.7452,0.2
gaussian_no_training_025,10.0,0.026265,85.3503,0.3
gaussian_no_training_025,10.0,0.035700,86.3694,0.4
gaussian_no_training_025,10.0,0.042622,86.9809,0.5
gaussian_no_training_025,10.0,0.049356,87.5414,0.6
gaussian_no_training_025,10.0,0.055269,88.0000,0.7
gaussian_no_training_025,10.0,0.059252,87.9236,0.8
gaussian_no_training_025,10.0,0.062081,88.2293,0.9
gaussian_noise_01,10.0,0.003397,76.2548,0.001
gaussian_noise_01,10.0,0.003476,77.0191,0.01
gaussian_noise_01,10.0,0.004538,80.5605,0.1
gaussian_noise_01,10.0,0.006636,83.5669,0.2
gaussian_noise_01,10.0,0.010506,85.5541,0.3
gaussian_noise_01,10.0,0.014280,86.5223,0.4
gaussian_noise_01,10.0,0.017049,87.0573,0.5
gaussian_noise_01,10.0,0.019742,87.4395,0.6
gaussian_noise_01,10.0,0.022108,87.8471,0.7
gaussian_noise_01,10.0,0.023701,88.1274,0.8
gaussian_noise_01,10.0,0.024832,88.2038,0.9
gaussian_no_training_01,10.0,0.003397,74.4968,0.001
gaussian_no_training_01,10.0,0.003476,75.1847,0.01
gaussian_no_training_01,10.0,0.004538,79.7452,0.1
gaussian_no_training_01,10.0,0.006636,83.0573,0.2
gaussian_no_training_01,10.0,0.010506,85.4777,0.3
gaussian_no_training_01,10.0,0.014280,86.3694,0.4
gaussian_no_training_01,10.0,0.017049,87.1592,0.5
gaussian_no_training_01,10.0,0.019742,87.5669,0.6
gaussian_no_training_01,10.0,0.022108,87.8217,0.7
gaussian_no_training_01,10.0,0.023701,87.8981,0.8
gaussian_no_training_01,10.0,0.024832,87.9236,0.9
