alpha,r,snr_db,accuracy,rho
0.05,0.5,-10,0.7039490445859873,0.007015306036919355
0.05,0.5,-5,0.7472611464968153,0.007015306036919355
0.05,0.5,0,0.7589808917197453,0.007015306036919355
0.05,0.5,5,0.7635668789808917,0.007015306036919355
0.05,0.5,10,0.7658598726114649,0.007015306036919355
0.1,0.5,-10,0.806624203821656,0.013392857275903225
0.1,0.5,-5,0.8351592356687898,0.013392857275903225
0.1,0.5,0,0.8389808917197452,0.013392857275903225
0.1,0.5,5,0.8422929936305732,0.013392857275903225
0.1,0.5,10,0.8430573248407643,0.013392857275903225
0.15,0.5,-10,0.849936305732484,0.01913265325129032
0.15,0.5,-5,0.8647133757961784,0.01913265325129032
0.15,0.5,0,0.8680254777070063,0.01913265325129032
0.15,0.5,5,0.8680254777070063,0.01913265325129032
0.15,0.5,10,0.8705732484076433,0.01913265325129032
0.2,0.5,-10,0.8692993630573248,0.025510204955935478
0.2,0.5,-5,0.876687898089172,0.025510204955935478
0.2,0.5,0,0.8843312101910829,0.025510204955935478
0.2,0.5,5,0.8845859872611465,0.025510204955935478
0.2,0.5,10,0.8843312101910829,0.025510204955935478
0.25,0.5,-10,0.8743949044585987,0.031887754797935486
0.25,0.5,-5,0.8861146496815286,0.031887754797935486
0.25,0.5,0,0.892484076433121,0.031887754797935486
0.25,0.5,5,0.8899363057324841,0.031887754797935486
0.25,0.5,10,0.89171974522293,0.031887754797935486
0.3,0.5,-10,0.882547770700637,0.03826530650258064
0.3,0.5,-5,0.8963057324840764,0.03826530650258064
0.3,0.5,0,0.8973248407643312,0.03826530650258064
0.3,0.5,5,0.8968152866242038,0.03826530650258064
0.3,0.5,10,0.8998726114649681,0.03826530650258064
0.4,0.5,-10,0.8978343949044586,0.05038265138864517
0.4,0.5,-5,0.9039490445859872,0.05038265138864517
0.4,0.5,0,0.9085350318471338,0.05038265138864517
0.4,0.5,5,0.9095541401273886,0.05038265138864517
0.4,0.5,10,0.9098089171974523,0.05038265138864517
0.5,0.5,-10,0.902420382165605,0.06313775479793549
0.5,0.5,-5,0.9136305732484077,0.06313775479793549
0.5,0.5,0,0.9179617834394904,0.06313775479793549
0.5,0.5,5,0.916687898089172,0.06313775479793549
0.5,0.5,10,0.9182165605095541,0.06313775479793549
0.6,0.5,-10,0.9036942675159235,0.0758928582072258
0.6,0.5,-5,0.9159235668789809,0.0758928582072258
0.6,0.5,0,0.9197452229299363,0.0758928582072258
0.6,0.5,5,0.9184713375796179,0.0758928582072258
0.6,0.5,10,0.9194904458598726,0.0758928582072258
0.7,0.5,-10,0.9098089171974523,0.08801020681858063
0.7,0.5,-5,0.9197452229299363,0.08801020681858063
0.7,0.5,0,0.9238216560509555,0.08801020681858063
0.7,0.5,5,0.9220382165605095,0.08801020681858063
0.7,0.5,10,0.9217834394904458,0.08801020681858063
0.8,0.5,-10,0.9115923566878981,0.10076530277729034
0.8,0.5,-5,0.922547770700637,0.10076530277729034
0.8,0.5,0,0.922547770700637,0.10076530277729034
0.8,0.5,5,0.9248407643312102,0.10076530277729034
0.8,0.5,10,0.9243312101910828,0.10076530277729034
0.9,0.5,-10,0.9054777070063694,0.11288265138864517
0.9,0.5,-5,0.9210191082802548,0.11288265138864517
0.9,0.5,0,0.9245859872611465,0.11288265138864517
0.9,0.5,5,0.923312101910828,0.11288265138864517
0.9,0.5,10,0.9256050955414012,0.11288265138864517
1.0,0.5,-10,0.9126114649681528,0.12563775479793549
1.0,0.5,-5,0.9205095541401274,0.12563775479793549
1.0,0.5,0,0.922547770700637,0.12563775479793549
1.0,0.5,5,0.9228025477707006,0.12563775479793549
1.0,0.5,10,0.9253503184713375,0.12563775479793549
0.05,0.25,-10,0.6499363057324841,0.0035076530184596777
0.05,0.25,-5,0.7263694267515923,0.0035076530184596777
0.05,0.25,0,0.7503184713375797,0.0035076530184596777
0.05,0.25,5,0.7589808917197453,0.0035076530184596777
0.05,0.25,10,0.7589808917197453,0.0035076530184596777
0.1,0.25,-10,0.7714649681528662,0.0066964286379516125
0.1,0.25,-5,0.8259872611464968,0.0066964286379516125
0.1,0.25,0,0.8318471337579618,0.0066964286379516125
0.1,0.25,5,0.8382165605095542,0.0066964286379516125
0.1,0.25,10,0.84,0.0066964286379516125
0.15,0.25,-10,0.812484076433121,0.00956632662564516
0.15,0.25,-5,0.8529936305732484,0.00956632662564516
0.15,0.25,0,0.8659872611464968,0.00956632662564516
0.15,0.25,5,0.867515923566879,0.00956632662564516
0.15,0.25,10,0.8690445859872612,0.00956632662564516
0.2,0.25,-10,0.8392356687898089,0.012755102477967739
0.2,0.25,-5,0.8685350318471338,0.012755102477967739
0.2,0.25,0,0.8761783439490446,0.012755102477967739
0.2,0.25,5,0.8769426751592356,0.012755102477967739
0.2,0.25,10,0.8802547770700637,0.012755102477967739
