alpha,r,snr_db,accuracy,rho
0.05,0.5,-10.0,0.901656050955414,0.010629251599311829
0.05,0.5,10.0,0.9095541401273886,0.010629251599311829
0.1,0.5,-10.0,0.922547770700637,0.021258503198623657
0.1,0.5,10.0,0.9230573248407643,0.021258503198623657
0.15,0.5,-10.0,0.9301910828025478,0.030824830755591393
0.15,0.5,10.0,0.9335031847133758,0.030824830755591393
0.2,0.5,-10.0,0.9335031847133758,0.04145408049225807
0.2,0.5,10.0,0.9340127388535032,0.04145408049225807
0.25,0.5,-10.0,0.9385987261146497,0.0520833320915699
0.25,0.5,10.0,0.9373248407643312,0.0520833320915699
0.3,0.5,-10.0,0.938343949044586,0.06271258741617203
0.3,0.5,10.0,0.9375796178343949,0.06271258741617203
0.4,0.5,-10.0,0.9396178343949044,0.08290816098451614
0.4,0.5,10.0,0.941656050955414,0.08290816098451614
0.5,0.5,-10.0,0.9398726114649681,0.1041666641831398
0.5,0.5,10.0,0.9398726114649681,0.1041666641831398
0.6,0.5,-10.0,0.9398726114649681,0.12542517483234406
0.6,0.5,10.0,0.9424203821656051,0.12542517483234406
0.7,0.5,-10.0,0.9378343949044586,0.14562074840068817
0.7,0.5,10.0,0.9419108280254777,0.14562074840068817
0.8,0.5,-10.0,0.9396178343949044,0.16687925159931183
0.8,0.5,10.0,0.9396178343949044,0.16687925159931183
0.9,0.5,-10.0,0.9373248407643312,0.18707482516765594
0.9,0.5,10.0,0.9391082802547771,0.18707482516765594
1.0,0.5,-10.0,0.9347770700636943,0.2083333283662796
1.0,0.5,10.0,0.9385987261146497,0.2083333283662796
0.05,0.25,-10.0,0.8996178343949045,0.005314625799655914
0.05,0.25,10.0,0.9080254777070064,0.005314625799655914
0.1,0.25,-10.0,0.9171974522292994,0.010629251599311829
0.1,0.25,10.0,0.9230573248407643,0.010629251599311829
0.15,0.25,-10.0,0.9271337579617834,0.015412415377795696
0.15,0.25,10.0,0.9317197452229299,0.015412415377795696
0.2,0.25,-10.0,0.9307006369426751,0.020727040246129036
0.2,0.25,10.0,0.9352866242038217,0.020727040246129036
0.25,0.25,-10.0,0.9335031847133758,0.02604166604578495
0.25,0.25,10.0,0.938343949044586,0.02604166604578495
0.3,0.25,-10.0,0.9378343949044586,0.031356293708086014
0.3,0.25,10.0,0.9375796178343949,0.031356293708086014
0.4,0.25,-10.0,0.9403821656050956,0.04145408049225807
0.4,0.25,10.0,0.9419108280254777,0.04145408049225807
0.5,0.25,-10.0,0.9403821656050956,0.0520833320915699
0.5,0.25,10.0,0.9457324840764331,0.0520833320915699
0.6,0.25,-10.0,0.9419108280254777,0.06271258741617203
0.6,0.25,10.0,0.9436942675159236,0.06271258741617203
0.7,0.25,-10.0,0.9398726114649681,0.07281037420034409
0.7,0.25,10.0,0.9426751592356688,0.07281037420034409
0.8,0.25,-10.0,0.9363057324840764,0.08343962579965591
0.8,0.25,10.0,0.9396178343949044,0.08343962579965591
0.9,0.25,-10.0,0.9368152866242038,0.09353741258382797
0.9,0.25,10.0,0.9408917197452229,0.09353741258382797
1.0,0.25,-10.0,0.9365605095541402,0.1041666641831398
1.0,0.25,10.0,0.9388535031847134,0.1041666641831398
0.05,0.1,-10.0,0.8659872611464968,0.002125850412994623
0.05,0.1,10.0,0.9100636942675159,0.002125850412994623
0.1,0.1,-10.0,0.9095541401273886,0.004251700825989246
0.1,0.1,10.0,0.9243312101910828,0.004251700825989246
0.15,0.1,-10.0,0.9210191082802548,0.0061649661511182785
0.15,0.1,10.0,0.9319745222929936,0.0061649661511182785
0.2,0.1,-10.0,0.9248407643312102,0.008290816098451614
0.2,0.1,10.0,0.9342675159235668,0.008290816098451614
0.25,0.1,-10.0,0.9340127388535032,0.010416666977107525
0.25,0.1,10.0,0.9385987261146497,0.010416666977107525
0.3,0.1,-10.0,0.9345222929936305,0.01254251692444086
0.3,0.1,10.0,0.9398726114649681,0.01254251692444086
0.4,0.1,-10.0,0.9403821656050956,0.01658163219690323
0.4,0.1,10.0,0.9424203821656051,0.01658163219690323
0.5,0.1,-10.0,0.9360509554140127,0.02083333395421505
0.5,0.1,10.0,0.9429299363057325,0.02083333395421505
0.6,0.1,-10.0,0.9363057324840764,0.02508503384888172
0.6,0.1,10.0,0.9421656050955414,0.02508503384888172
0.7,0.1,-10.0,0.9375796178343949,0.029124150052666664
0.7,0.1,10.0,0.9429299363057325,0.029124150052666664
0.8,0.1,-10.0,0.935031847133758,0.033375851809978485
0.8,0.1,10.0,0.9424203821656051,0.033375851809978485
0.9,0.1,-10.0,0.9337579617834395,0.03741496428847313
0.9,0.1,10.0,0.9434394904458598,0.03741496428847313
1.0,0.1,-10.0,0.9273885350318471,0.0416666679084301
1.0,0.1,10.0,0.9396178343949044,0.0416666679084301
